year,age,qx,lx,dx,Lx,Tx,ex,sex
1910,64,0.0297,53965,1603,53164,798310,14.79,M
1910,65,0.03122,52363,1635,51545,745146,14.23,M
1910,66,0.03341,50728,1695,49881,693600,13.67,M
1910,67,0.03514,49033,1723,48172,643720,13.13,M
1910,68,0.03771,47310,1784,46418,595548,12.59,M
1910,69,0.03964,45526,1805,44624,549130,12.06,M
1910,70,0.04312,43721,1885,42779,504506,11.54,M
1910,71,0.04553,41836,1905,40884,461727,11.04,M
1910,72,0.04792,39932,1914,38975,420843,10.54,M
1910,73,0.05286,38018,2010,37013,381868,10.04,M
1910,74,0.05641,36009,2031,34993,344855,9.58,M
1910,75,0.06095,33978,2071,32942,309862,9.12,M
1910,76,0.06523,31907,2081,30866,276920,8.68,M
1910,77,0.06982,29825,2082,28784,246054,8.25,M
1910,78,0.0754,27743,2092,26697,217270,7.83,M
1910,79,0.07903,25651,2027,24638,190572,7.43,M
1910,80,0.08448,23624,1996,22626,165935,7.02,M
1910,81,0.09042,21628,1956,20651,143308,6.63,M
1910,82,0.09652,19673,1899,18723,122658,6.23,M
1910,83,0.10764,17774,1913,16817,103934,5.85,M
1910,84,0.11561,15861,1834,14944,87117,5.49,M
1910,85,0.12587,14027,1766,13144,72173,5.15,M
1910,86,0.13612,12262,1669,11427,59028,4.81,M
1910,87,0.14854,10593,1573,9806,47601,4.49,M
1910,88,0.16026,9019,1445,8296,37796,4.19,M
1910,89,0.1782,7574,1350,6899,29499,3.89,M
1910,90,0.19257,6224,1199,5625,22600,3.63,M
1910,91,0.20698,5025,1040,4505,16976,3.38,M
1910,92,0.22877,3985,912,3529,12470,3.13,M
1910,93,0.24908,3074,766,2691,8941,2.91,M
1910,94,0.27105,2308,626,1995,6250,2.71,M
1910,95,0.29359,1682,494,1435,4255,2.53,M
1910,96,0.31553,1188,375,1001,2819,2.37,M
1910,97,0.33642,813,274,677,1818,2.23,M
1910,98,0.35583,540,192,444,1141,2.11,M
1910,99,0.37338,348,130,283,698,2.01,M
1910,100,0.39134,218,85,175,415,1.9,M
1910,101,0.4098,133,54,105,240,1.81,M
1910,102,0.42883,78,34,61,134,1.71,M
1910,103,0.44849,45,20,35,73,1.63,M
1910,104,0.46882,25,12,19,38,1.54,M
1910,105,0.4899,13,6,10,19,1.46,M
1910,106,0.51178,7,3,5,9,1.38,M
1910,107,0.53451,3,2,2,4,1.31,M
1910,108,0.55816,2,1,1,2,1.24,M
1910,109,0.58277,1,0,0,1,1.17,M
1910,110,0.6084,0,0,0,0,1.1,M
1910,111,0.63511,0,0,0,0,1.04,M
1910,112,0.66295,0,0,0,0,0.98,M
1910,113,0.69197,0,0,0,0,0.92,M
1910,114,0.72225,0,0,0,0,0.86,M
1910,115,0.75383,0,0,0,0,0.81,M
1910,116,0.78679,0,0,0,0,0.76,M
1910,117,0.82118,0,0,0,0,0.71,M
1910,118,0.85707,0,0,0,0,0.66,M
1910,119,0.89447,0,0,0,0,0.61,M
